Table,Attribute,NotNull,field_name
clinical_data_other_evals,subject_id,NOT NULL,GLOB(record_id)
clinical_data_other_evals,session_name,NOT NULL,clin_aq_type
clinical_data_other_evals,date_neurological_eval,,date_neurological_eval
clinical_data_other_evals,hoehn_yahr,,hoehn_yahr
clinical_data_other_evals,adl_scale_pd,,adl_scale_pd
clinical_data_other_evals,adl_scale_dyskinesia,,adl_scale_dyskinesia
clinical_data_other_evals,epworth_sleepiness_sc,,epworth_sleepiness_sc
clinical_data_other_evals,moca_total,,moca_total
clinical_data_other_evals,send_pd_1_psych_sympt,,send_pd_1_psych_sympt
clinical_data_other_evals,send_pd_2_mood,,send_pd_2_mood
clinical_data_other_evals,send_pd_3_impulse,,send_pd_3_impulse
clinical_data_other_evals,send_pd_sum,,send_pd_sum
clinical_data_other_evals,aed_informant,,aed_informant
clinical_data_other_evals,beck_depr_inventory,,beck_depr_inventory
clinical_data_other_evals,beck_anx_inventory,,beck_anx_inventory
clinical_data_other_evals,min_mental_state,,min_mental_state
clinical_data_other_evals,delirium_screening,,delirium_screening
clinical_data_other_evals,glasgow_coma_scale,,glasgow_coma_scale
clinical_data_other_evals,arch_spiral_l,,arch_spiral_l
clinical_data_other_evals,arch_spiral_r,,arch_spiral_r
clinical_data_other_evals,date_npi_q,,date_npi_q
clinical_data_other_evals,npi_q_severity,,npi_q_severity
clinical_data_other_evals,npi_q_distress,,npi_q_distress
clinical_data_other_evals,dyskinesia,,dyskinesia
clinical_data_other_evals,dysarthria,,dysarthria
clinical_data_other_evals,dystonia,,dystonia
clinical_data_other_evals,disturbed_vision,,disturbed_vision
clinical_data_other_evals,dizziness,,dizziness
clinical_data_other_evals,mood_changes,,mood_changes
clinical_data_other_evals,paresthesia,,paresthesia
clinical_data_other_evals,ataxia,,ataxia
clinical_data_other_evals,date_neuropsych_eval,,date_neuropsych_eval
clinical_data_other_evals,phonem_verbal_fl,,phonem_verbal_fl
clinical_data_other_evals,semantic_verbal_fl,,semantic_verbal_fl
clinical_data_other_evals,stroop_color_naming,,stroop_color_naming
clinical_data_other_evals,stroop_word_naming,,stroop_word_naming
clinical_data_other_evals,stroop_color_word_naming,,stroop_color_word_naming
clinical_data_other_evals,boston_naming_test,,boston_naming_test
clinical_data_other_evals,corsi_blocks_forward,,corsi_blocks_forward
clinical_data_other_evals,corsi_blocks_backward,,corsi_blocks_backward
clinical_data_other_evals,constructive_praxis,,constructive_praxis
clinical_data_other_evals,tmt_ba,,tmt_ba
clinical_data_other_evals,basel_verbal_learning_test,,basel_verbal_learning_test
clinical_data_other_evals,five_point_test,,five_point_test
clinical_data_other_evals,wisconsin_card_sorting,,wisconsin_card_sorting
clinical_data_other_evals,rey_osterrieth_copy,,rey_osterrieth_copy
clinical_data_other_evals,rey_osterrieth_immediate,,rey_osterrieth_immediate
clinical_data_other_evals,rey_osterrieth_delayed,,rey_osterrieth_delayed
clinical_data_other_evals,tap_div_attention,,tap_div_attention
clinical_data_other_evals,digit_span_forward,,digit_span_forward
clinical_data_other_evals,digit_span_backward,,digit_span_backward
